EAN,Código Interno,Nombre Producto,Categoría,Subcategoría,Marca,Fabricante,Precio de Lista,Precio de Oferta,Tipo de Oferta,URL
7794000009417,,aderezo bacon hellmanns 250 gr,mayonesas,GENERAL,HELLMANNS,,2779.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000009417&P=1
7790580135430,,mayonesa bc la campagnola 1 kg,mayonesas,GENERAL,LA CAMPAGNOLA,,4562.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790580135430&P=1
7794000005433,,aderezo vegano s/tacc hellmanns 500 gr,mayonesas,GENERAL,HELLMANNS,,2902.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000005433&P=1
7794000005426,,aderezo vegano hellmanns 250 gr,mayonesas,GENERAL,HELLMANNS,,1694.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000005426&P=1
7790580137595,,mayonesa bc d/pack la campagnola 125 gr,mayonesas,GENERAL,LA CAMPAGNOLA,,735.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790580137595&P=1
7792180142016,,mayonesa canuelas 250 cc,mayonesas,GENERAL,CANUELAS,,1151.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792180142016&P=1
7794000006065,,mayonesa clasica d.pack hellmanns 237 gr,mayonesas,GENERAL,HELLMANNS,,1040.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000006065&P=1
7794000006058,,mayonesa clasica d.pack hellmanns 950 gr,mayonesas,GENERAL,HELLMANNS,,4074.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000006058&P=1
7794000006072,,mayonesa clasica s.pack hellmanns 475 gr,mayonesas,GENERAL,HELLMANNS,,1990.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000006072&P=1
7798146139090,,mayonesa con ajo tau 300 gr,mayonesas,GENERAL,TAU,,3368.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798146139090&P=1
7791620187723,,mayonesa d/pack danica fiesta 250 gr,mayonesas,GENERAL,DANICA FIESTA,,916.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187723&P=1
7791620187730,,mayonesa d/pack danica fiesta 500 cc,mayonesas,GENERAL,DANICA FIESTA,,1594.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187730&P=1
7791620187747,,mayonesa d/pack danica fiesta 950 gr,mayonesas,GENERAL,DANICA FIESTA,,2861.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187747&P=1
7791866001203,,mayonesa d/pack natura 250 cc,mayonesas,GENERAL,NATURA,,1426.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791866001203&P=1
7791620187679,,mayonesa danica 1 kg,mayonesas,GENERAL,DANICA,,3036.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187679&P=1
7791866001364,,mayonesa d/pack natura 500 cc,mayonesas,GENERAL,NATURA,,2794.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791866001364&P=1
7791620187655,,mayonesa danica 250 gr,mayonesas,GENERAL,DANICA,,924.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187655&P=1
7791620187662,,mayonesa doy pack danica 500 gr,mayonesas,GENERAL,DANICA,,1724.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187662&P=1
7798146138864,,mayonesa light heinz 350 gr,mayonesas,GENERAL,HEINZ,,2826.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798146138864&P=1
7798146138871,,mayonesa light heinz 850 gr,mayonesas,GENERAL,HEINZ,,5584.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798146138871&P=1
7791620187686,,mostaza d.pack danica 220 gr,mayonesas,GENERAL,DANICA,,920.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187686&P=1
7794000006478,,mostaza d/pack savora 250 gr,mayonesas,GENERAL,SAVORA,,1182.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794000006478&P=1
7791866000510,,mostaza d/pack natura 500 gr,mayonesas,GENERAL,NATURA,,1911.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791866000510&P=1
7798146139076,,mostaza dulce tau 320 gr,mayonesas,GENERAL,TAU,,4021.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798146139076&P=1
7791620187648,,mostaza fiesta 220 gr,mayonesas,GENERAL,FIESTA,,792.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791620187648&P=1
7791866004211,,mostaza natura 250 gr,mayonesas,GENERAL,NATURA,,1021.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791866004211&P=1
