EAN,CodigoInterno,NombreProducto,Categoria,Subcategoria,Marca,Fabricante,PrecioLista,PrecioOferta,TipoOferta,URL,SKU,ProductId,ClusterId,ClusterNombre
7792180001665,3053882,Aceite De Girasol Cañuelas 1.5 L,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Cañuelas,,5119.0,5119.0,Coleccion Automatica - Promos de Integracion Activas | Más Online | Almacén | leyDeGondolas | Derrumbe- Especiales para vos! | MASCLUB - NAVIDAD | Maraton - Almacén | Fiestas Super - Almacen | OFERTAZOS -DESCUBRI EL MEJOR SURTIDO | Excluidos Mas Club Lunes | Almacen | Competencia | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-canuelas-1-5-lt-2/p,14810,14811,3454,Almacen
7792180001641,3053918,Aceite De Girasol Cañuelas 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Cañuelas,,3229.0,3229.0,Más Online | Almacén | leyDeGondolas | MASCLUB - NAVIDAD | Ofertazos - Prepara tus comidas | Derrumbe - Mkt | Changazo - Almacen seco | Almacén - Changazos | Ofertazos - Regional - Almacen | Excluidos Mas Club Lunes | Almacen | Liquidaciones - Mas Club | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-canuelas-900-ml-2/p,14809,14810,3454,Almacen
7790060023684,3042109,Aceite De Girasol Cocinero 1.5 Lt,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Cocinero,,5099.0,3849.0,Coleccion Automatica - Promos de Integracion Activas | Más Online | Almacén | leyDeGondolas | Cucarda SIN TACC | MASCLUB - NAVIDAD | Dias que si - Lo que vos más buscas | Noche de Ofertas- Destacados | FLASH 27 AL 29 - DICIEMBRE 24 | Flash  - Julio 2025 | Solo  x Hoy - Supermercado | ¡A comer!-PREPARÁ TU SEMANA | Excluidos Mas Club Lunes | Almacen | Días que si - Precio Bomba | PROMOS ACTIVAS - COMAC TINA | Competencia | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-cocinero-1-5-lt-2/p,13289,13289,3454,Almacen
7790070012050,3042378,Aceite De Girasol Cocinero 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Cocinero,,3299.0,3299.0,Vic - MKT | Más Online | Almacén | leyDeGondolas | MASCLUB - NAVIDAD | Aniversario - Almacen | Flash  - Julio 2025 | Excluidos Mas Club Lunes | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-cocinero-900-ml-3/p,13296,13296,3454,Almacen
7798316700815,212212830,Aceite De Girasol Legitimo 1.5l,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Legitimo,,5019.0,5019.0,Maratón- Almacén | FLASH - HASTA 25% | MASCLUB - NAVIDAD | Flash 2024 - Home | Almacén | Excluidos Mas Club Lunes | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-legitimo-1-5l-2/p,216055,216023,3454,Almacen
7798316700808,211890678,Aceite De Girasol Legitimo 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Legitimo,,3109.0,3109.0,Más Online | Almacén | Maratón- Almacén | MASCLUB - NAVIDAD | Dias que si - Filtro - Almacen seco | canasta-protegida | Excluidos Mas Club Lunes | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-legitimo-900ml-2/p,175785,175785,3454,Almacen
7790070231420,181887632,Aceite De Girasol Lira 1.5 L,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Lira,,5669.0,5669.0,Más Online | Almacén | leyDeGondolas | FLASH - HASTA 25% | MASCLUB - NAVIDAD | Changazo - Almacen seco | Flash 2024 - Home | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-lira-1-5-lt-2/p,145429,145429,3454,Almacen
7790272001029,3044352,Aceite De Girasol Natura 1.5 L,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Natura,,5499.0,5499.0,Más Online | Almacén | leyDeGondolas | MASCLUB - NAVIDAD | BF - Filtro - Aceites y acetos | Excluidos Mas Club Lunes | Almacen | Competencia | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-natura-1-5-lt-2/p,13745,13745,3454,Almacen
7790272001005,205572495,Aceite De Girasol Natural 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Natura,,3499.0,3499.0,Más Online | Almacén | leyDeGondolas | MASCLUB - NAVIDAD | Excluidos Mas Club Lunes | Almacen | Competencia | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-natural-900-ml-2/p,13744,13744,3454,Almacen
7792180137944,184658486,Aceite De Girasol Pureza 1.5 L,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Pureza,,5479.0,5479.0,Más Online | Almacén | leyDeGondolas | MASCLUB - NAVIDAD | Receta Pan Dulce | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Liquidaciones - Mas Club | Derrumbe de precios - Almacén | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-girasol-pureza-1-5-lt-2/p,146526,146526,3454,Almacen
7792180137937,184658485,Aceite De Girasol Pureza 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Girasol,Pureza,,3499.0,3499.0,Más Online | Almacén | Flash Exclusivo - General | MASCLUB - NAVIDAD | Días que si - Almacén | Días que si - Almacen | Mas Club Lunes 15% | Apertura Campana Total | Ofertas de la Semana | 20240301 a 20240310 Changazo Super - $1499 | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-girasol-pureza-x-900ml-2/p,146527,146527,3454,Almacen
7790070231598,11954831,Aceite De Girasol Y Oliva Cocinero Ecobotella 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite Mezcla,Cocinero,,5439.0,4351.2,Coleccion Automatica - Promos de Integracion Activas | Más Online | Almacén | leyDeGondolas | Cucarda SIN TACC | MASCLUB - NAVIDAD | Mas Club Lunes 15% | Almacen | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-mezcla-cocinero-oliva-girasol-x-900-ml-2/p,142309,142309,3454,Almacen
7790070231697,195531275,Aceite De Maiz Lira 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Maiz,Lira,,6739.0,6739.0,Más Online | Almacén | leyDeGondolas | MASCLUB - NAVIDAD | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-de-maiz-lira-900ml-2/p,152739,152739,3454,Almacen
7790580160807,156103683,Aceite De Maíz Arcor 900 Ml,"Aceites, Vinagres Y Aderezos",Aceites > Aceite De Maiz,Arcor,,5899.0,5899.0,Más Online | Almacén | leyDeGondolas | Pauta - Almacen Maratón | MASCLUB - NAVIDAD | Vivi la copa - Almacen | Almacén | Viví la copa - General | pastas para el partido | CyberMonday - Super - Almacen | Regional Almacén | Licencia DC | Tartas- PREPARÁ TU SEMANA | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/aceite-arcor-de-maiz-890ml-2/p,14222,182599,3454,Almacen
