COD;EAN;PRODUCTO;CATEGORIA;SUBCATEGORIA;MARCA;FABRICANTE;PRECIO_LISTA;PRECIO_OFERTA;TIPO_OFERTA;FECHA;ID_BANDERA;BANDERA
;7,79079E+12;CREMA ILOLAY SIMPLE 200CC;Lacteos;Crema;ilolay;Savencia;2419;;;16/5/2025;011-005-10000;Mas ONLine
;7,7904E+12;CREMA LA PAULINA SIMPLE 350CC;Lacteos;Crema;La Paulina;Saputo;3239;;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;CREMA LA SERENISIMA SIMPLE 200CC;Lacteos;Crema;La Serenisima;Mastellone;2479;;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;CREMA LA SERENISIMA SIMPLE 330CC;Lacteos;Crema;La Serenisima;Mastellone;3779;;;16/5/2025;011-005-10000;Mas ONLine
;7,79482E+12;CREMA MILKAUT DOBLE 200CC;Lacteos;Crema;Milkaut;Savencia;3099;;;16/5/2025;011-005-10000;Mas ONLine
;7,79482E+12;CREMA MILKAUT SIMPLE 330CC;Lacteos;Crema;Milkaut;Savencia;4869;;;16/5/2025;011-005-10000;Mas ONLine
;7,79806E+12;CREMA TONADITA SIMPLE 200CC;Lacteos;Crema;Tonadita;Elcor;1869;;;16/5/2025;011-005-10000;Mas ONLine
;7,79806E+12;CREMA TONADITA SIMPLE 350CC;Lacteos;Crema;Tonadita;Elcor;3089;;;16/5/2025;011-005-10000;Mas ONLine
;7,79391E+12;CREMA TREGAR SIMPLE 200CC;Lacteos;Crema;Tregar;Garcia Hnos;2379;;;16/5/2025;011-005-10000;Mas ONLine
;7,79391E+12;CREMA TREGAR SIMPLE 350CC;Lacteos;Crema;Tregar;Garcia Hnos;3849;;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;DDL ILOLAY CLASICO 1KG;Lacteos;DDL;ilolay;Savencia;7519;5639,25;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;DDL ILOLAY CLASICO 400GR;Lacteos;DDL;ilolay;Savencia;2939;2204,25;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;DDL ILOLAY REPOSTERO 400GR;Lacteos;DDL;ilolay;Savencia;3779;2834,25;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;DDL LA SERENISIMA CLASICO 400GR;Lacteos;DDL;La Serenisima;Mastellone;3059;;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;DDL LA SERENISIMA COLONIAL 1KG;Lacteos;DDL;La Serenisima;Mastellone;7979;;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;DDL LA SERENISIMA COLONIAL 400GR;Lacteos;DDL;La Serenisima;Mastellone;3659;;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;DDL LA SERENISIMA REPOSTERO 400GR;Lacteos;DDL;La Serenisima;Mastellone;3309;;;16/5/2025;011-005-10000;Mas ONLine
;7,79482E+12;DDL MILKAUT CLASICO 1KG;Lacteos;DDL;Milkaut;Savencia;6329;;;16/5/2025;011-005-10000;Mas ONLine
;7,79482E+12;DDL MILKAUT CLASICO 400GR;Lacteos;DDL;Milkaut;Savencia;3399;;;16/5/2025;011-005-10000;Mas ONLine
;7,79482E+12;DDL MILKAUT DE CAMPO 400GR;Lacteos;DDL;Milkaut;Savencia;2699;;;16/5/2025;011-005-10000;Mas ONLine
;7,79482E+12;DDL MILKAUT REPOSTERO 400GR;Lacteos;DDL;Milkaut;Savencia;3749;;;16/5/2025;011-005-10000;Mas ONLine
;7,79024E+12;DDL SAN IGNACIO CLASICO 400GR;Lacteos;DDL;San Ignacio;San Ignacio;2909;;;16/5/2025;011-005-10000;Mas ONLine
;7,79391E+11;DDL TREGAR CLASICO 400GR;Lacteos;DDL;Tregar;Garcia Hnos;2589;1941,25;;16/5/2025;011-005-10000;Mas ONLine
;7,79134E+12;LECHE CHOCOLATADA CINDOR 1LT;Lacteos;Chocolatada;Cindor;Danone;5569;;;16/5/2025;011-005-10000;Mas ONLine
;7,79134E+12;LECHE CHOCOLATADA CINDOR 200CC;Lacteos;Chocolatada;Cindor;Danone;1999;;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;LECHE CHOCOLATADA ILOLAY 1LT;Lacteos;Chocolatada;ilolay;Savencia;3029;;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;LECHE CHOCOLATADA ILOLAY 200CC;Lacteos;Chocolatada;ilolay;Savencia;1159;;;16/5/2025;011-005-10000;Mas ONLine
;7,79134E+12;LECHE CHOCOLATADA LA SERENISIMA 200CC;Lacteos;Chocolatada;La Serenisima;Danone;1569;;;16/5/2025;011-005-10000;Mas ONLine
;7,79834E+12;LECHE CHOCOLATADA LAS 3 NI•AS 1LT;Lacteos;Chocolatada;Las 3 Ni§as;Adecco;3569;;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;LECHE LA SERENISIMA SACHET 1LT;Lacteos;Leche;La Serenisima;Mastellone;1699;1465;;16/5/2025;011-005-10000;Mas ONLine
;7,79074E+12;LECHE LA SERENISIMA TETRA 1LT;Lacteos;Leche;La Serenisima;Mastellone;2249;1499,33;;16/5/2025;011-005-10000;Mas ONLine
;7,79834E+12;LECHE LAS 3 NI•AS TETRA 1LT;Lacteos;Leche;Las 3 Ni§as;Adecco;2089;;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;MANTECA ILOLAY 100GR;Lacteos;Manteca;ilolay;Savencia;1919;;;16/5/2025;011-005-10000;Mas ONLine
;7,79079E+12;MANTECA ILOLAY 200GR;Lacteos;Manteca;ilolay;Savencia;4039;;;16/5/2025;011-005-10000;Mas ONLine
;7,7904E+12;MANTECA LA PAULINA 100GR;Lacteos;Manteca;La Paulina;Saputo;1929;;;16/5/2025;011-005-10000;Mas ONLine
;7,7904E+12;MANTECA LA PAULINA 200GR;Lacteos;Manteca;La Paulina;Saputo;3529;;;16/5/2025;011-005-10000;Mas ONLine
;7,79394E+12;MANTECA LA SERENISIMA 100GR;Lacteos;Manteca;La Serenisima;Mastellone;2089;;;16/5/2025;011-005-10000;Mas ONLine
;7,79394E+12;MANTECA LA SERENISIMA 200GR;Lacteos;Manteca;La Serenisima;Mastellone;3679;;;16/5/2025;011-005-10000;Mas ONLine
;7,79806E+12;MANTECA TONADITA 200GR;Lacteos;Manteca;Tonadita;Elcor;3049;;;16/5/2025;011-005-10000;Mas ONLine
